suburb,postcode,lat,lng,n_addresses,level
FORREST BEACH,4850,-18.705067,146.29584,1178,suburb_postcode
RIVER HEADS,4655,-25.402917,152.907823,1935,suburb_postcode
MANGO HILL,4509,-27.236665,153.032362,7694,suburb_postcode
MOUNT COOLUM,4573,-26.565184,153.090116,2666,suburb_postcode
GLEN APLIN,4381,-28.737349,151.879651,305,suburb_postcode
MILTON,4064,-27.469533,153.00539,3775,suburb_postcode
INKERMAN,4806,-19.705422,147.487667,185,suburb_postcode
BROUGHTON,4820,-20.110959,146.30323,373,suburb_postcode
SARINA,4737,-21.419438,149.217374,3173,suburb_postcode
KEPPEL SANDS,4702,-23.328398,150.791261,302,suburb_postcode
KIRWAN,4817,-19.301285,146.730957,9380,suburb_postcode
TALLEBUDGERA,4228,-28.147287,153.42483,1450,suburb_postcode
ELI WATERS,4655,-25.281826,152.806655,2633,suburb_postcode
PARADISE POINT,4216,-27.882146,153.395276,4869,suburb_postcode
PEACHESTER,4519,-26.839474,152.887025,672,suburb_postcode
ARUNDEL,4214,-27.94018,153.362077,6277,suburb_postcode
TRINITY PARK,4879,-16.808223,145.702414,1860,suburb_postcode
TOOGOOM,4655,-25.256311,152.687574,1544,suburb_postcode
GINOONDAN,4625,-25.585795,151.783369,29,suburb_postcode
GURULMUNDI,4415,-26.415919,150.07484,20,suburb_postcode
GLADSTONE CENTRAL,4680,-23.842576,151.25559,3089,suburb_postcode
SPRING HILL,4000,-27.462335,153.024804,7679,suburb_postcode
GLEN EDEN,4680,-23.899623,151.272113,1348,suburb_postcode
YORKEYS KNOB,4878,-16.809542,145.721713,2084,suburb_postcode
SANDSTONE POINT,4511,-27.078868,153.131624,2769,suburb_postcode
VERNOR,4306,-27.462022,152.625565,132,suburb_postcode
BILINGA,4225,-28.162009,153.513791,2028,suburb_postcode
MOOLOOLABA,4557,-26.681136,153.115605,7831,suburb_postcode
KIELS MOUNTAIN,4559,-26.654201,153.006074,303,suburb_postcode
GRACEMERE,4702,-23.451962,150.459236,5678,suburb_postcode
POINT LOOKOUT,4183,-27.428957,153.532926,1734,suburb_postcode
SOUTHSIDE,4570,-26.212135,152.651473,4012,suburb_postcode
FLINDERS VIEW,4305,-27.651751,152.773249,2883,suburb_postcode
NAMBOUR,4560,-26.624157,152.957205,8445,suburb_postcode
YEPPOON,4703,-23.131373,150.738337,5530,suburb_postcode
CARRARA,4211,-28.016965,153.362232,7125,suburb_postcode
LANDERS SHOOT,4555,-26.714246,152.925123,118,suburb_postcode
OXENFORD,4210,-27.916461,153.308478,5927,suburb_postcode
LOWER BEECHMONT,4211,-28.044411,153.245615,625,suburb_postcode
WACOL,4076,-27.594161,152.928199,1158,suburb_postcode
CANNONVALE,4802,-20.281423,148.692196,5043,suburb_postcode
GAYTHORNE,4051,-27.417127,152.982308,2275,suburb_postcode
MANLY WEST,4179,-27.466697,153.168086,5583,suburb_postcode
PARKHURST,4702,-23.303978,150.501988,1752,suburb_postcode
ROMA,4455,-26.571106,148.785122,5106,suburb_postcode
BURPENGARY,4505,-27.157511,152.966533,8793,suburb_postcode
ZILZIE,4710,-23.278012,150.814885,1743,suburb_postcode
ROTHWELL,4022,-27.213247,153.052277,4552,suburb_postcode
YATALA,4207,-27.751168,153.221458,1675,suburb_postcode
LOGAN VILLAGE,4207,-27.769783,153.109132,3309,suburb_postcode
WHITE ROCK,4868,-16.977064,145.748952,2499,suburb_postcode
INVERNESS,4703,-23.1128,150.722269,246,suburb_postcode
SUNNYBANK HILLS,4109,-27.595597,153.052453,7368,suburb_postcode
PIERCES CREEK,4355,-27.169049,152.039115,50,suburb_postcode
BALMORAL,4171,-27.457098,153.065439,2334,suburb_postcode
